pitch_type,pitch,release_speed,pfx_z,pfx_x,release_spin_rate,release_pos_x,release_pos_z,release_extension,delta_run_exp,swing,whiff,in_zone,out_zone,chase,in_play,hard_hit,xba,xwoba,woba,xwobacon,pitch_usage,whiff_rate,in_zone_rate,chase_rate,hard_hit_rate,delta_run_exp_per_100
CH,61974,85.82143640881661,4.451377674508665,-4.533305569007264,1788.091140100997,-0.5490860683512441,5.717100396940653,6.43179603033726,124.174,31187,9598,24290,37684,12586,11909,4050,0.23983937691521962,0.29191201231823094,0.29038760152890586,0.3523743130125983,0.10194500555997868,0.30775643697694555,0.391938554877852,0.3339878993737395,0.3400789319002435,-0.2003646690547649
CS,352,67.98039772727272,-0.6988636363636364,4.056477272727273,2278.286931818182,-0.05142045454545456,5.684289772727272,5.512784090909091,3.645,135,28,176,176,36,61,16,0.23629577464788734,0.28954393333333334,0.356,0.31059016393442623,0.0005790273656228821,0.2074074074074074,0.5,0.20454545454545456,0.26229508196721313,-1.0355113636363635
CU,42250,79.62438579881656,-9.915110059171596,4.2946253254437865,2597.132408724514,-0.7548520710059171,5.933883313609468,6.3524014676293055,151.593,17567,5380,18616,23634,6694,6318,2347,0.22538764167393202,0.2867749396806022,0.2948654390934844,0.3741391498169081,0.06949973351581469,0.3062560482723288,0.44061538461538463,0.2832360159092832,0.37147831592276037,-0.35879999999999995
EP,852,50.09460093896713,16.732816901408448,-2.0650704225352112,1248.9612676056338,-1.429049295774648,6.699154929577465,4.427347417840376,42.931,376,14,332,520,146,283,124,0.36004166666666665,0.45876062187500005,0.495,0.4397844522968198,0.001401509419064476,0.03723404255319149,0.38967136150234744,0.28076923076923077,0.4381625441696113,-5.038849765258216
FA,795,68.24930817610063,14.231547169811321,-7.249509433962265,1718.3148614609572,-1.5370691823899372,6.004704402515723,4.697481108312343,36.679,361,23,353,442,106,218,104,0.3592907488986784,0.45304527027027025,0.5137065637065638,0.4354724770642202,0.0013077464649721344,0.06371191135734072,0.4440251572327044,0.2398190045248869,0.47706422018348627,-4.6137106918239
FC,47357,89.6991637983825,8.217426779567962,1.156165008554591,2417.1189292138397,-0.9173290115505627,5.822789239183225,6.374527983104541,38.587,23292,5152,25449,21908,5867,8713,3395,0.27638959293394777,0.35915232382927254,0.35827193283070596,0.384837669094693,0.07790056520966712,0.22119182551949168,0.5373862364592352,0.26780171626802995,0.38964765293239984,-0.08148109044069515
FF,193175,94.46516422932575,15.801685725378542,-3.462608695652174,2319.6175369550206,-0.8108120616021741,5.821439006082567,6.5081329729953605,-21.303999999999974,94319,20209,109552,83623,19679,32068,14895,0.2569858219712186,0.35269476648282777,0.34130696064819616,0.4069553125294617,0.3177659413471598,0.21426223772516673,0.5671127216254691,0.23532999294452484,0.46448172633154544,0.011028342176782696
FO,542,82.509963099631,0.6732841328413284,-9.943173431734317,1192.6236162361624,-2.1017343173431735,5.9365498154981555,6.309409594095941,-8.273,294,123,149,393,180,83,18,0.14261437908496732,0.21017621637426903,0.2098265895953757,0.2859024390243902,0.0008915705459306878,0.41836734693877553,0.27490774907749077,0.4580152671755725,0.21686746987951808,1.5263837638376383
FS,20090,86.4776256844201,3.3152971627675454,-9.247651567944251,1345.7050589882024,-1.482429069188651,5.7732812344449975,6.563608303878131,-9.990000000000002,10409,3526,7797,12293,4220,3610,1289,0.2140460638097036,0.26274266791577444,0.26775079758950726,0.3496891552829663,0.03304732890728324,0.338745316552983,0.38810353409656545,0.3432847962254942,0.35706371191135733,0.049726231956197124
KC,10331,82.95042106282064,-9.431772335688704,5.136548252831285,2494.851165048544,-0.9719552802245669,5.938996224954021,6.360983638299933,16.759999999999998,4693,1718,4233,6098,2084,1508,611,0.21144719471947196,0.26506789369926553,0.28624663849404536,0.3791048064085447,0.016994124188210214,0.3660771361602387,0.40973768270254574,0.3417513938996392,0.4051724137931034,-0.16223018100861483
KN,133,73.00827067669174,0.9554887218045114,-0.8571428571428571,330.2706766917293,-0.9064661654135339,5.9013533834586465,5.93609022556391,1.969,48,8,51,82,13,21,7,0.22846428571428573,0.34138576470588233,0.31470588235294117,0.3504285714285714,0.00021878022621546397,0.16666666666666666,0.38345864661654133,0.15853658536585366,0.3333333333333333,-1.480451127819549
PO,45,90.64888888888889,14.533333333333331,-6.176,2224.9777777777776,-1.5188888888888887,5.936888888888889,6.1577777777777785,0.873,0,0,0,45,0,0,0,,,0.0,,7.402338480974346e-05,,0.0,0.0,,-1.94
