pitch_type,p_throws,pfx_z,pfx_x
CH,L,5.2733297268055175,14.229119610319323
CH,R,4.007647941323554,-14.447632387622384
CS,L,-6.924413793103448,-9.585931034482758
CS,R,3.6620289855072468,13.612753623188404
CU,L,-9.836758015682012,-8.493654219392903
CU,R,-9.938327447104948,9.574279882059423
EP,L,8.78,0.6200000000000001
EP,R,17.24397094430993,-2.21317191283293
FA,L,16.311932773109245,3.750252100840336
FA,R,14.157440000000001,-8.94368
FC,L,7.865050225147211,-1.935918155019941
FC,R,8.354495532087732,2.1719285134037367
FF,L,15.866142663452846,8.093748586931946
FF,R,15.770405255151807,-7.641832136059434
FO,R,0.6732841328413284,-9.943173431734317
FS,L,6.2446953937592875,9.580089153046062
FS,R,2.9751944146079485,-11.273336197636949
KC,L,-8.133285457809695,-3.6079712746858172
KC,R,-9.773360218242201,7.454802514529712
KN,L,2.353846153846154,2.907692307692308
KN,R,0.804,-1.2650000000000001
PO,L,13.12,6.139999999999999
PO,R,14.724878048780488,-7.9229268292682935
SC,R,2.6571428571428575,-11.897142857142857
SI,L,7.561160516736849,15.361400728207325
SI,R,7.346536179794743,-15.12918666089216
SL,L,1.9912094748175622,-4.059026199306137
SL,R,1.7078259331328498,4.616249944709022
ST,L,1.0105786855197696,-13.05322027972028
ST,R,1.116889478392301,13.89765108745951
SV,L,-5.892175873731679,-12.333213077790305
SV,R,-4.669840172786177,12.335015118790498
